District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,4220,4524,4175,4717,4733,4606,4654,3356,4469,4482,4753,4065,4085,4013,4225,3976,3981,3569,4348,3806,4660,4257,4363,4028,3759,3920,3603,3834,3760,3537,3330,3218,2907,3310,3150,2537,3283,3135,2758,2597,2429,2186,2248,2156,2301,2106,2095,2188,1868,2015,2077,2089,1955,1953,1315
Pathankot,3650,4344,3944,3984,4018,4066,4049,2727,3979,4121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,4451,4763,4533,4813,4866,4948,4478,3914,4869,4654,4975,4283,4072,4049,4401,4146,4429,4276,4296,4250,4683,4682,4855,4427,3876,4149,3993,4193,4190,3919,3844,3717,3562,3774,3614,2552,3448,3471,3076,2971,2612,2715,2773,2662,2546,2493,2424,2276,2051,2198,2749,2326,2680,2342,1570
Tarn Taran,4287,4704,4546,4898,4685,4791,4524,4132,5088,4383,4873,4571,4145,4603,4426,4140,4429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,3994,4616,4655,4733,4842,4922,4259,3996,4935,4641,4929,4442,4816,4252,4556,4077,4354,4005,4425,3970,4722,4439,4710,4302,3414,4222,3811,4137,3927,3877,3762,3700,3690,3725,3628,2929,3297,3048,2937,2614,2777,2781,2798,2055,2249,2129,2148,2140,1920,2127,1916,2527,2065,2302,1597
Jalandhar,4223,4900,5026,4968,5063,4847,4456,4102,4950,4575,5062,4690,4325,4140,4437,4195,4494,4291,4420,4280,4703,4626,4925,4620,3589,4236,3969,4255,4103,3851,3839,3746,3666,3752,3707,3217,3706,3391,3207,2952,3081,2456,2886,2504,2470,2420,2453,2507,2349,2504,2296,2492,2346,2311,1741
SBS Nagar,3862,4935,5078,5005,5003,4925,4720,3712,4939,4771,5162,4708,4271,3913,4561,4163,4203,4100,4149,3741,4566,4463,4597,4282,3567,4080,3866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,3621,4145,4287,5244,4337,4124,4078,3623,4335,4220,4507,4294,3849,3537,3808,3642,3546,3402,3417,3439,3616,3443,3591,3484,3062,3252,3017,3168,3080,2928,2947,2858,2780,2825,2574,2329,2539,2117,2181,1998,2041,2041,2114,1888,1803,1840,2120,2070,1687,1885,1435,1468,1283,1521,1269
Rupnagar,3610,4513,4326,4561,4873,4827,4286,4032,4578,4503,4638,3900,4257,3316,4127,3782,3591,3505,3534,3550,3942,3631,4022,3779,3561,3570,3380,3412,3450,3397,3336,3194,2755,3127,2968,2842,3394,2794,2707,2775,2145,2190,2533,2550,2263,1940,2045,1803,1864,1538,1949,1948,1925,1789,1676
SAS Nagar,2704,4368,4521,4633,4968,4707,4647,3959,4473,4316,4793,4276,4497,4241,3975,3853,3792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
